32
0	1	double	2000	9
0	2	double	2000	5
1	2	double	2000	5
1	8	double	2000	9
1	9	double	2000	11
2	3	double	2000	11
2	4	double	2000	5
2	10	double	2000	11
3	4	double	2000	7
4	5	double	2000	5
4	6	double	2000	7
4	15	double	2000	5
5	12	double	2000	5
5	16	double	2000	8
6	8	double	2000	5
6	12	double	2000	10
7	8	double	2000	6
7	10	double	2000	8
8	13	double	2000	6
9	10	double	2000	6
9	17	double	2000	9
10	11	double	2000	9
10	13	double	2000	9
10	18	double	2000	6
11	14	double	2000	11
12	13	double	2000	7
12	16	double	2000	11
13	14	double	2000	10
13	15	double	2000	7
13	25	double	2000	7
14	19	double	2000	5
15	16	double	2000	6
15	30	double	2000	8
17	18	double	2000	5
17	20	double	2000	9
18	19	double	2000	5
18	23	double	2000	6
19	25	double	2000	6
20	21	double	2000	10
21	22	double	2000	8
21	23	double	2000	9
22	24	double	2000	9
23	24	double	2000	6
23	26	double	2000	6
24	26	double	2000	8
24	28	double	2000	5
25	26	double	2000	5
25	30	double	2000	8
26	27	double	2000	10
27	28	double	2000	8
27	29	double	2000	10
27	30	double	2000	7
29	31	double	2000	11
30	31	double	2000	5
