20
0	1	double	10000	6
0	9	double	10000	5
1	2	double	10000	6
2	3	double	10000	7
2	10	double	10000	10
2	11	double	1000	8
2	17	double	10000	7
4	9	double	10000	8
4	12	double	10000	9
5	6	double	10000	5
5	9	double	10000	7
6	9	double	10000	6
6	10	double	10000	8
7	9	double	10000	9
7	10	double	10000	5
8	9	double	10000	7
8	10	double	10000	8
9	10	double	10000	11
9	14	double	10000	5
10	11	double	1000	5
10	15	double	10000	11
11	13	double	1000	6
12	13	double	1000	8
12	14	double	10000	5
13	14	double	1000	8
14	15	double	10000	5
14	16	double	1000	5
14	17	double	10000	5
14	19	double	10000	8
16	17	double	1000	9
17	18	double	10000	7
17	19	double	10000	10
