32
0	1	double	1200	9
0	2	double	1200	5
1	2	double	1200	5
1	8	double	1200	9
1	9	double	1200	11
2	3	double	1200	11
2	4	double	1200	5
2	10	double	1200	11
3	4	double	1200	7
4	5	double	1200	5
4	6	double	1200	7
4	15	double	1200	5
5	12	double	1200	5
5	16	double	1200	8
6	8	double	1200	5
6	12	double	1200	10
7	8	double	1200	6
7	10	double	1200	8
8	13	double	1200	6
9	10	double	1200	6
9	17	double	1200	9
10	11	double	1200	9
10	18	double	1200	6
11	14	double	1200	11
12	13	double	1200	7
12	16	double	1200	11
13	14	double	1200	10
13	15	double	1200	7
14	19	double	1200	5
15	16	double	1200	6
15	30	double	1200	8
17	18	double	1200	5
17	20	double	1200	9
18	19	double	1200	5
18	23	double	1200	6
19	25	double	1200	6
20	21	double	1200	10
21	22	double	1200	8
21	23	double	1200	9
22	24	double	1200	9
23	24	double	1200	6
23	26	double	1200	6
24	26	double	1200	8
24	28	double	1200	5
25	26	double	1200	5
25	30	double	1200	8
26	27	double	1200	10
27	28	double	1200	8
27	29	double	1200	10
27	30	double	1200	7
29	31	double	1200	11
30	31	double	1200	5
