15
0	1	double	1200	7
0	2	double	1200	6
0	3	double	1200	6
1	2	double	1200	9
1	4	double	1200	11
1	10	double	1200	5
2	3	double	1200	6
2	5	double	4800	10
2	6	double	4800	9
3	7	double	1200	10
3	8	double	1200	7
4	10	double	1200	7
4	11	double	1200	6
5	6	double	4800	6
5	9	double	4800	6
5	10	double	4800	5
6	8	double	1200	11
6	9	double	4800	10
7	8	double	1200	9
8	9	double	1200	9
8	14	double	1200	8
9	10	double	4800	10
10	11	double	1200	9
10	12	double	1200	6
11	12	double	1200	7
12	13	double	1200	5
13	14	double	1200	8
